"table_name","column_name","data_type"
"accounting_payment","id","bigint"
"accounting_payment","payment_type","character varying"
"accounting_payment","amount","numeric"
"accounting_payment","is_paid","boolean"
"accounting_payment","paid_at","timestamp with time zone"
"accounting_payment","notes","text"
"accounting_payment","created_at","timestamp with time zone"
"accounting_payment","accountant_dashboard_deleted","boolean"
"accounting_payment","part_number","integer"
"accounting_payment","total_parts","integer"
"accounting_payment","payment_group","character varying"
"accounting_payment","accountant_id","bigint"
"accounting_payment","admission_id","bigint"
"accounting_payment","lab_request_id","bigint"
"accounting_payment","patient_id","bigint"
"accounting_payment","prescription_id","bigint"
"accounting_payment","surgery_id","bigint"
"accounting_payment","visit_id","bigint"
"auth_group","id","integer"
"auth_group","name","character varying"
"auth_group_permissions","id","bigint"
"auth_group_permissions","group_id","integer"
"auth_group_permissions","permission_id","integer"
"auth_permission","id","integer"
"auth_permission","name","character varying"
"auth_permission","content_type_id","integer"
"auth_permission","codename","character varying"
"django_admin_log","id","integer"
"django_admin_log","action_time","timestamp with time zone"
"django_admin_log","object_id","text"
"django_admin_log","object_repr","character varying"
"django_admin_log","action_flag","smallint"
"django_admin_log","change_message","text"
"django_admin_log","content_type_id","integer"
"django_admin_log","user_id","bigint"
"django_content_type","id","integer"
"django_content_type","app_label","character varying"
"django_content_type","model","character varying"
"django_migrations","id","bigint"
"django_migrations","app","character varying"
"django_migrations","name","character varying"
"django_migrations","applied","timestamp with time zone"
"django_session","session_key","character varying"
"django_session","session_data","text"
"django_session","expire_date","timestamp with time zone"
"lab_labrequest","id","bigint"
"lab_labrequest","status","character varying"
"lab_labrequest","doctor_note","text"
"lab_labrequest","total_price","numeric"
"lab_labrequest","paid_at","timestamp with time zone"
"lab_labrequest","completed_at","timestamp with time zone"
"lab_labrequest","created_at","timestamp with time zone"
"lab_labrequest","lab_attendant_deleted","boolean"
"lab_labrequest","accountant_id","bigint"
"lab_labrequest","doctor_id","bigint"
"lab_labrequest","lab_attendant_id","bigint"
"lab_labrequest","patient_id","bigint"
"lab_labrequest","visit_id","bigint"
"lab_labrequesttest","id","bigint"
"lab_labrequesttest","doctor_note","character varying"
"lab_labrequesttest","is_completed","boolean"
"lab_labrequesttest","result_note","text"
"lab_labrequesttest","price_at_time","numeric"
"lab_labrequesttest","request_id","bigint"
"lab_labrequesttest","test_id","bigint"
"lab_labtest","id","bigint"
"lab_labtest","name","character varying"
"lab_labtest","description","text"
"lab_labtest","category","character varying"
"lab_labtest","price","numeric"
"lab_labtest","is_active","boolean"
"management_consultingroom","id","bigint"
"management_consultingroom","number","integer"
"management_consultingroom","name","character varying"
"management_consultingroom","is_active","boolean"
"management_user","id","bigint"
"management_user","password","character varying"
"management_user","last_login","timestamp with time zone"
"management_user","is_superuser","boolean"
"management_user","username","character varying"
"management_user","first_name","character varying"
"management_user","last_name","character varying"
"management_user","email","character varying"
"management_user","is_staff","boolean"
"management_user","is_active","boolean"
"management_user","date_joined","timestamp with time zone"
"management_user","role","character varying"
"management_user","is_approved","boolean"
"management_user","doctor_type","character varying"
"management_user","specialization","character varying"
"management_user","license_number","character varying"
"management_user","consulting_room_id","bigint"
"management_user","is_available","boolean"
"management_user","is_on_sit","boolean"
"management_user","is_vital_signs_nurse","boolean"
"management_user","preferred_name","character varying"
"management_user","date_of_birth","date"
"management_user","gender","character varying"
"management_user","phone","character varying"
"management_user","address","text"
"management_user","blood_group","character varying"
"management_user","allergies","text"
"management_user","medical_history","text"
"management_user","emergency_contact_name","character varying"
"management_user","emergency_contact_phone","character varying"
"management_user","emergency_contact_relationship","character varying"
"management_user","genotype","character varying"
"management_user","current_medications","text"
"management_user","family_history","text"
"management_user","surgical_history","text"
"management_user","immunizations","text"
"management_user","disabilities","text"
"management_user","occupation","character varying"
"management_user","marital_status","character varying"
"management_user","nationality","character varying"
"management_user","religion","character varying"
"management_user","next_of_kin_name","character varying"
"management_user","next_of_kin_phone","character varying"
"management_user","next_of_kin_relationship","character varying"
"management_user","profile_photo","character varying"
"management_user","home_phone","character varying"
"management_user","work_phone","character varying"
"management_user","temporary_address","text"
"management_user","employer","character varying"
"management_user","sex_at_birth","character varying"
"management_user","has_support_person","boolean"
"management_user","has_legal_guardian","boolean"
"management_user_groups","id","bigint"
"management_user_groups","user_id","bigint"
"management_user_groups","group_id","integer"
"management_user_user_permissions","id","bigint"
"management_user_user_permissions","user_id","bigint"
"management_user_user_permissions","permission_id","integer"
"pharmacy_drug","id","bigint"
"pharmacy_drug","name","character varying"
"pharmacy_drug","description","text"
"pharmacy_drug","dosage_form","character varying"
"pharmacy_drug","strength","character varying"
